,,,,,,,,,,,,,,,,
Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),,AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),,,,,,,,
GREEN,NA,STATION A,STATION B,0,3,0,0,0,,,,,,,,
GREEN,NA,STATION B,STATION A,0,3,0,0,0,,,,,,,,
GREEN,NA,STATION B,STATION D,0,5,0,0,0,,,,,,,,
GREEN,NA,STATION D,STATION B,0,5,0,0,0,,,,,,,,
GREEN,NA,STATION D,STATION E,0,2,0,0,0,,,,,,,,
GREEN,NA,STATION E,STATION D,0,2,0,0,0,,,,,,,,
YELLOW,NA,STATION C,STATION B,0,4,0,0,0,,,,,,,,
YELLOW,NA,STATION B,STATION C,0,4,0,0,0,,,,,,,,
YELLOW,NA,STATION B,STATION H,0,4,0,0,0,,,,,,,,
YELLOW,NA,STATION H,STATION B,0,4,0,0,0,,,,,,,,
YELLOW,NA,STATION H,STATION L,0,3,0,0,0,,,,,,,,
YELLOW,NA,STATION L,STATION H,0,3,0,0,0,,,,,,,,
PINK,NA,STATION D,STATION F,0,4,0,0,0,,,,,,,,
PINK,NA,STATION F,STATION D,0,4,0,0,0,,,,,,,,
PINK,NA,STATION F,STATION I,0,4,0,0,0,,,,,,,,
PINK,NA,STATION I,STATION F,0,4,0,0,0,,,,,,,,
PINK,NA,STATION I,STATION L,0,2,0,0,0,,,,,,,,
PINK,NA,STATION L,STATION I,0,2,0,0,0,,,,,,,,
BLUE,NA,STATION E,STATION G,0,7,0,0,0,,,,,,,,
BLUE,NA,STATION G,STATION E,0,7,0,0,0,,,,,,,,
BLUE,NA,STATION G,STATION J,0,1,0,0,0,,,,,,,,
BLUE,NA,STATION J,STATION G,0,1,0,0,0,,,,,,,,
BLUE,NA,STATION J,STATION L,0,6,0,0,0,,,,,,,,
BLUE,NA,STATION L,STATION J,0,6,0,0,0,,,,,,,,
RED,NA,STATION H,STATION I,0,10,0,0,0,,,,,,,,
RED,NA,STATION I,STATION H,0,10,0,0,0,,,,,,,,
RED,NA,STATION I,STATION J,0,5,0,0,0,,,,,,,,
RED,NA,STATION J,STATION I,0,5,0,0,0,,,,,,,,
RED,NA,STATION J,STATION K,0,4,0,0,0,,,,,,,,
RED,NA,STATION K,STATION J,0,4,0,0,0,,,,,,,,
