,,,,,,,,,,,,,,,,
Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),,AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),,,,,,,,
GREEN,NA,STATION A,STATION B,0,7,0,0,0,,,,,,,,
GREEN,NA,STATION B,STATION A,0,7,0,0,0,,,,,,,,
GREEN,NA,STATION A,STATION D,0,5,0,0,0,,,,,,,,
GREEN,NA,STATION D,STATION A,0,5,0,0,0,,,,,,,,
GREEN,NA,STATION A,STATION E,0,3,0,0,0,,,,,,,,
GREEN,NA,STATION E,STATION A,0,3,0,0,0,,,,,,,,
GREEN,NA,STATION B,STATION D,0,1,0,0,0,,,,,,,,
GREEN,NA,STATION D,STATION B,0,1,0,0,0,,,,,,,,
GREEN,NA,STATION B,STATION F,0,8,0,0,0,,,,,,,,
GREEN,NA,STATION F,STATION B,0,8,0,0,0,,,,,,,,
GREEN,NA,STATION E,STATION C,0,6,0,0,0,,,,,,,,
GREEN,NA,STATION C,STATION E,0,6,0,0,0,,,,,,,,
GREEN,NA,STATION E,STATION G,0,1,0,0,0,,,,,,,,
GREEN,NA,STATION G,STATION E,0,1,0,0,0,,,,,,,,
GREEN,NA,STATION C,STATION G,0,3,0,0,0,,,,,,,,
GREEN,NA,STATION G,STATION C,0,3,0,0,0,,,,,,,,
GREEN,NA,STATION G,STATION H,0,5,0,0,0,,,,,,,,
GREEN,NA,STATION H,STATION G,0,5,0,0,0,,,,,,,,
GREEN,NA,STATION G,STATION F,0,1,0,0,0,,,,,,,,
GREEN,NA,STATION F,STATION G,0,1,0,0,0,,,,,,,,
